street,house_number,BEZ,HA_NAME,BAUJAHR,ARCHITEKT,GESCH_ANZ,L_NUTZUNG,L_BAUTYP,L_BAUJ,SHAPE
St.-Veit-Gasse,33.0,13,,,,1.0,Wohnnutzung,W3.8.-Mieth.s.d.Gründerzeit-Hoftrakt,nach 1945,POINT (16.28459008391793 48.187644498738585)
Amalienstraße,34.0,13,,,,4.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.27562815874858 48.19108319719335)
Zedlitzgasse,9.0,1,Schule der Stadt Wien,1867.0,,4.0,öffentliche Einrichtung,5.-Bauten der Erziehung und Bildung,1860-1883,POINT (16.37877198393314 48.207003480713)
Eglseegasse,11.0,12,,,,2.0,Wohnnutzung,"W5.1.-freist.1-,2-u.Mehrfamilienh.-Villen in Randbebauung",nach 1945,POINT (16.311927899059558 48.165242725964426)
Kirchstetterngasse,47.0,16,,,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.33300331544149 48.2097665982565)
Margaretenplatz,8.0,5,Wohnhaus von Adolf Müller jun.,1890.0,,5.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1884-1918,POINT (16.35863479483488 48.19194911667405)
Brausewettergasse,2.0,22,,1918.0,,0.0,keine Angabe,Keine Angabe,1884-1918,POINT (16.451146364875004 48.221579338368535)
Beatrixgasse,14.0,3,,1888.0,Wieser Joseph und Lotz Arnold,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1884-1918,POINT (16.38499716179148 48.20313805343067)
Gassergasse,9.0,5,,,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.366414445454364 48.18429955947553)
Kalbeckgasse,6.0,18,,,,2.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",1919 - 1945,POINT (16.30585391682132 48.2391066389967)
Obere Donaustraße,3.0,2,,,,4.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1848 -1918,POINT (16.369947025566233 48.22540049210396)
Stadiongasse,5.0,1,,1885.0,"Krakowitzer, Hermann",6.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1884-1918,POINT (16.3570419385112 48.20892675117625)
Georg-Sigl-Gasse,10.0,9,keine Angabe,1903.0,Steinitz Leo,5.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1884-1918,POINT (16.366399818436477 48.2238565398331)
Breitenfurter Straße,533.0,23,,,,1.0,betriebliche Nutzung,W1.2.-bäuerl.dom.Baustrukt.-Zwerchh.u.Gassenfrontenhaus,vor 1848,POINT (16.245372272888343 48.13755923908889)
Gasteigergasse,3.0,20,,,,5.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1848 -1918,POINT (16.3820176347003 48.23408417600467)
Augarten,21.0,2,,,,1.0,keine Angabe,Keine Angabe,Keine Angabe,POINT (16.374870058196443 48.22382261168195)
Schrotzbergstraße,2.0,2,,,,5.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1848 -1918,POINT (16.404868521975402 48.21915416031917)
Cobenzl,96.0,19,,,,0.0,keine Angabe,Keine Angabe,Keine Angabe,POINT (16.320487467555605 48.264136693276996)
Kimmerlgasse,3.0,11,,,,1.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",nach 1945,POINT (16.46531295506544 48.16146457445581)
Mollardgasse,35.0,6,,,,4.0,öffentliche Einrichtung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1919 - 1945,POINT (16.351420870300043 48.19086050078936)
Gerasdorfer Straße,10.0,21,,,,1.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",nach 1945,POINT (16.409902704701 48.28108707679281)
Johannesgasse,9.0,1,Ginzkeyhof,1954.0,Hrdlicka Ladislaus,8.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,1946-1976,POINT (16.373037562885894 48.20493621371932)
Johann-Strauß-Gasse,25.0,4,,,,5.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1848 -1918,POINT (16.368003246997247 48.18804158296033)
Rittergasse,2.0,4,,,,6.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.363697763924414 48.19330032833476)
Aslangasse,93.0,19,,,,0.0,keine Angabe,Keine Angabe,Keine Angabe,POINT (16.33467505828974 48.253251371194786)
Pötzleinsdorfer Straße,80.0,18,,1868.0,,1.0,keine Angabe,Keine Angabe,1860-1883,POINT (16.309794088325695 48.242077513207256)
Pötzleinsdorfer Straße,86.0,18,,1883.0,,2.0,keine Angabe,Keine Angabe,1860-1883,POINT (16.30935588672365 48.242279218670745)
Schallergasse,43.0,12,,,,6.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.34499863769942 48.1812595270596)
Lerchenfelder Straße,33.0,7,Wohnhaus von Adolf Jahn und Albert Gessmann,,,7.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.35079566118486 48.20621284401511)
Große Sperlgasse,33.0,2,"Zum Blauen Wolf, Zum Goldenen Pfau",,,7.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.378198631828436 48.21841482020193)
Naglergasse,27.0,1,Zum goldenen Kampl,,,5.0,Sonstige,W2.3.-Bürgerhaus-Haus mit mittig liegendem Hof,Vor 1683,POINT (16.366646652444533 48.210730171362414)
Buchengasse,92.0,10,,,,7.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,Keine Angabe,POINT (16.372523035419874 48.17521288197701)
Scheugasse,4.0,10,,,,0.0,Wohnnutzung,Keine Angabe,1848 -1918,POINT (16.378255018004726 48.18100321825668)
Kretschekgasse,9.0,17,,,,2.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",1919 - 1945,POINT (16.283993827798653 48.22481933871268)
Lindauergasse,38.0,16,,,,3.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.330178023917608 48.213620618685106)
Rennweg,89.0,3,,,,4.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,nach 1945,POINT (16.39599502078806 48.19154128935665)
Linzer Straße,264.0,14,,,,4.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,nach 1945,POINT (16.27956755879914 48.19593265132807)
Hohe Warte,27.0,19,,,,2.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",nach 1945,POINT (16.354472829415258 48.250880042147394)
Ungargasse,60.0,3,,,,7.0,Sonstige,W6.1.-Sonderwohnbauten-Hotel und Pension,nach 1945,POINT (16.38644554772196 48.19684333465051)
Brigittenauer Lände,40.0,20,,,,4.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1848 -1918,POINT (16.366095730233937 48.227904365382734)
Krieglergasse,2.0,3,,,,7.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.39167606180118 48.20970421033542)
Kaiserstraße,71.0,7,,,,7.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.33990832530005 48.20404805870405)
Spitalgasse,11.0,9,,,,5.0,öffentliche Einrichtung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1848 -1918,POINT (16.351079377841547 48.21675546326293)
Habichergasse,44.0,16,,,,3.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.328953748435268 48.20924867719435)
Beckmanngasse,7.0,14,,,,1.0,Wohnnutzung,W1.2.-bäuerl.dom.Baustrukt.-Zwerchh.u.Gassenfrontenhaus,vor 1848,POINT (16.31162618796823 48.19073138113422)
Brünnlbadgasse,15.0,9,,,,5.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1848 -1918,POINT (16.34528167316483 48.21734125878947)
Linzer Straße,273.0,14,,,,4.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,nach 1945,POINT (16.28056902266675 48.1950430786862)
Eichendorffgasse,4.0,19,,,,3.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",nach 1945,POINT (16.344072923714776 48.23785058709287)
Vorgartenstraße,107.0,20,,,,7.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,nach 1945,POINT (16.391584060811258 48.233281995334465)
Weißenthurngasse,13.0,12,,,,2.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",1919 - 1945,POINT (16.315822089398257 48.174523556050794)
Argentinierstraße,29.0,4,,,,6.0,Wohnnutzung,W2.3.-Bürgerhaus-Haus mit mittig liegendem Hof,Nach 1976,POINT (16.37343996980364 48.19476069015923)
Biraghigasse,71.0,13,,,,2.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",nach 1945,POINT (16.280364151206047 48.16976418137577)
Kahlenberger Straße,26.0,19,Greinerhaus,,,2.0,Wohnnutzung,W2.5.-Bürgerhaus-Paläste,Vor 1683,POINT (16.36193985567978 48.258236711647946)
Wurlitzergasse,50.0,16,,,,6.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,nach 1945,POINT (16.317953095086203 48.21670490579189)
Billrothstraße,4.0,19,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.351457128898986 48.234411029227964)
Lindengasse,40.0,7,,,,3.0,betriebliche Nutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1848 -1918,POINT (16.348572748960272 48.19986856351687)
Gablenzgasse,41.0,15,,,,5.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,nach 1945,POINT (16.326798957012652 48.204913609705386)
Kaiserstraße,1.0,7,"ehem. Schuhpalast ""Hermes"" Umbau",,,5.0,betriebliche Nutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1919 - 1945,POINT (16.34140746499461 48.196509872276884)
Göllnergasse,19.0,3,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.400838839716897 48.200122172837055)
Simmeringer Hauptstraße,60.0,11,,,,4.0,Wohnnutzung,W3.8.-Mieth.s.d.Gründerzeit-Hoftrakt,nach 1945,POINT (16.4128451397662 48.17685122501035)
Leopold-Ernst-Gasse,21.0,17,,,,4.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.333453416242282 48.221974529683834)
Hackinger Kai,9.0,13,,,,3.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.26283920777928 48.194993032576)
Hernalser Hauptstraße,204.0,17,,,,4.0,Wohnnutzung,W3.3.-Mieth.s.d.Gründerzeit-Doppeltrakter mit Verbindungstr.,1848 -1918,POINT (16.312292651721865 48.22489074151791)
Gersthofer Straße,20.0,18,,,,4.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.328387655545225 48.23369476385062)
Rohrbacherstraße,9.0,13,,,,1.0,Wohnnutzung,W1.2.-bäuerl.dom.Baustrukt.-Zwerchh.u.Gassenfrontenhaus,vor 1848,POINT (16.272175036718973 48.18858156426092)
Langackergasse,36.0,19,,,,2.0,Wohnnutzung,"W5.1.-freist.1-,2-u.Mehrfamilienh.-Villen in Randbebauung",1919 - 1945,POINT (16.35276055601003 48.257572643321396)
Diefenbachgasse,53.0,15,,,,2.0,Wohnnutzung,W1.2.-bäuerl.dom.Baustrukt.-Zwerchh.u.Gassenfrontenhaus,vor 1848,POINT (16.330558201626296 48.184639580619525)
Iglaseegasse,56.0,19,,,,3.0,Wohnnutzung,"W5.1.-freist.1-,2-u.Mehrfamilienh.-Villen in Randbebauung",nach 1945,POINT (16.34404051241672 48.24766716926591)
Pyrkergasse,33.0,19,,,,4.0,Wohnnutzung,W3.8.-Mieth.s.d.Gründerzeit-Hoftrakt,nach 1945,POINT (16.35410037250042 48.241662381574066)
Jörgerstraße,45.0,17,,1889.0,Stadtbaumeister Carl Haas,4.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1884-1918,POINT (16.334576879372005 48.21800486129565)
Stromstraße,47.0,20,,1954.0,Bauer und Hansmann,,keine Angabe,Keine Angabe,1946-1976,POINT (16.381694578933224 48.24183129383848)
Goldschmiedgasse,6.0,1,,1880.0,Fellner Ferdinand und Helmer Hermann,6.0,betriebliche Nutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1860-1883,POINT (16.371277770702903 48.20877570190512)
Neubaugürtel,35.0,15,,,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.336696325149106 48.20282854776904)
Bösendorferstraße,7.0,1,,1868.0,Romano Johann und Schwendenwein August,4.0,betriebliche Nutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1860-1883,POINT (16.370848678470946 48.20137206990516)
Wielemansgasse,2.0,18,,,,3.0,Wohnnutzung,W4.3.-soz.u.gemeinn.Wohnb.-Siedlungen in Zeilenbauweise,nach 1945,POINT (16.326237028033177 48.22782177957205)
Drischützgasse,26.0,11,,1955.0,,0.0,keine Angabe,Keine Angabe,1946-1976,POINT (16.408426727407758 48.17409126555724)
Erdbergstraße,15.0,3,Gasthof zum römischen Kaiser,,,6.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.394176416153016 48.202717578815374)
Leebgasse,88.0,10,,1913.0,,0.0,keine Angabe,Keine Angabe,1884-1918,POINT (16.36822845202746 48.16918974514782)
Quellenstraße,92.0,10,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,Keine Angabe,POINT (16.371565492678243 48.17589604020179)
Schneidergasse,7.0,11,,1914.0,Mayer Leopold,0.0,keine Angabe,Keine Angabe,1884-1918,POINT (16.40831943552288 48.18348039335682)
Steudelgasse,31.0,10,,,,7.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.38383231775921 48.172912492987635)
Lerchenfelder Gürtel,10.0,7,,,,4.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1848 -1918,POINT (16.33758671309527 48.20517793045919)
Kohlmarkt,7.0,1,,1840.0,,5.0,betriebliche Nutzung,W2.3.-Bürgerhaus-Haus mit mittig liegendem Hof,1781-1848,POINT (16.36784108758998 48.2088109653029)
Kärchergasse,3.0,3,,,,6.0,Wohnnutzung,W4.3.-soz.u.gemeinn.Wohnb.-Siedlungen in Zeilenbauweise,nach 1945,POINT (16.39122005015662 48.1899795709897)
Jakschgasse,2.0,14,,,,3.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",nach 1945,POINT (16.31503088423509 48.191718525738445)
Kalbeckgasse,5.0,18,,,,2.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",nach 1945,POINT (16.305339962187524 48.238807209756644)
Rathausplatz,3.0,1,,1880.0,Neumann jun. Franz Xaver,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1860-1883,POINT (16.35848951738464 48.21200791445389)
Odeongasse,1.0,2,,,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.38394909842755 48.21809754041746)
Schopenhauerstraße,36.0,18,,,,3.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.342681602333098 48.224123748250356)
Reinprechtsdorfer Straße,29.0,5,,,,5.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1848 -1918,POINT (16.353563084661758 48.18585050539339)
Hagenmüllergasse,25.0,3,,1927.0,Baurat Ing. Hugo Mayer,6.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,1919-1945,POINT (16.403755766352585 48.198021293211845)
Dittesgasse,4.0,18,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.33853157123493 48.22839558588399)
Sandleitengasse,68.0,17,,,,2.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.30667147519851 48.22366627421867)
Hutweidengasse,46.0,19,,,,3.0,Wohnnutzung,W3.8.-Mieth.s.d.Gründerzeit-Hoftrakt,nach 1945,POINT (16.333419743822073 48.242879989711355)
Benedikt-Schellinger-Gasse,15.0,15,,,,4.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,1848 -1918,POINT (16.32941579645781 48.19782676679726)
Lannerstraße,30.0,19,,1900.0,O. Marmorek,2.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",1884-1918,POINT (16.343564477863627 48.236142187685644)
Buchfeldgasse,2.0,8,,1885.0,Laske Oskar,4.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1884-1918,POINT (16.35385041813225 48.209465531467124)
Buchfeldgasse,4.0,8,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1781-1848,POINT (16.353709660271008 48.209797312875956)
Billrothstraße,57.0,19,,,,3.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",nach 1945,POINT (16.347702165023502 48.240081934661966)
Herbeckstraße,3.0,18,,,,3.0,Wohnnutzung,"W5.1.-freist.1-,2-u.Mehrfamilienh.-Villen in Randbebauung",nach 1945,POINT (16.327903494467456 48.23095522708625)
Sedlitzkygasse,40.0,11,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.414474199671055 48.17361758452006)
Formanekgasse,26.0,19,,,,3.0,Wohnnutzung,"W5.1.-freist.1-,2-u.Mehrfamilienh.-Villen in Randbebauung",nach 1945,POINT (16.352601380525265 48.24795737014232)
Franklinstraße,20.0,21,Paul Speiser-Hof,1929.0,,4.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,1919 - 1945,POINT (16.400674772318496 48.2538984886032)
Thurngasse,17.0,9,Zum schwarzen Adler,1895.0,,6.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1884-1918,POINT (16.361250287214865 48.21940326891848)
Alliogasse,8.0,15,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.328478193179194 48.201563126871356)
Brunnengasse,39.0,16,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.335408374079737 48.20941014738624)
Grabnergasse,11.0,6,,,,6.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,nach 1945,POINT (16.34924708672052 48.19134262749014)
Neulerchenfelder Straße,68.0,16,,,,2.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.33097196510449 48.21182597148782)
Formanekgasse,67.0,19,,,,2.0,Wohnnutzung,"W5.1.-freist.1-,2-u.Mehrfamilienh.-Villen in Randbebauung",nach 1945,POINT (16.34837505652775 48.249195446155575)
Lerchenfelder Straße,138.0,8,,,,5.0,Wohnnutzung,Keine Angabe,1848 -1918,POINT (16.341308055097347 48.20848535036778)
Siebenbrunnengasse,66.0,5,,,,5.0,Wohnnutzung,W3.3.-Mieth.s.d.Gründerzeit-Doppeltrakter mit Verbindungstr.,1848 -1918,POINT (16.351804435302874 48.18415822773982)
Greinergasse,45.0,19,,,,3.0,Wohnnutzung,W3.8.-Mieth.s.d.Gründerzeit-Hoftrakt,nach 1945,POINT (16.36475366041504 48.25997486927967)
Kammerergasse,9.0,19,,,,2.0,Wohnnutzung,"W4.4.-soz.u.gemeinn.Wohnb.-Siedlungen,1-,2-u.Mehrfamilienh.",1919 - 1945,POINT (16.318407239620306 48.244043000876324)
Raffelspergergasse,27.0,19,,,,2.0,Wohnnutzung,"W5.1.-freist.1-,2-u.Mehrfamilienh.-Villen in Randbebauung",nach 1945,POINT (16.3147783112415 48.245065176718505)
Getreidemarkt,9.0,6,,,,4.0,öffentliche Einrichtung,5.-Bauten der Erziehung und Bildung,1848 -1918,POINT (16.363573392103834 48.201194441840954)
Ziegelhofstraße,15.0,22,Siedlung Breitenlee,1934.0,Stiegholzer Hermann und Kastinger Herbert,0.0,keine Angabe,Keine Angabe,1919-1945,POINT (16.476637083934715 48.23874967560494)
Flachgasse,23.0,15,,,,0.0,keine Angabe,Keine Angabe,Keine Angabe,POINT (16.314310003100054 48.19572982714257)
Deinhardsteingasse,13.0,16,,,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.32876142285128 48.211526736719115)
Grüllemeiergasse,19.0,16,,,,2.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,nach 1945,POINT (16.322455236907615 48.21236028013606)
Lacknergasse,2.0,17,,,,2.0,Wohnnutzung,W3.7.-Mieth.s.d.Gründerzeit-Eckhaus,1848 -1918,POINT (16.32841156164521 48.21884250945908)
Höhnegasse,19.0,18,,,,3.0,Wohnnutzung,W3.3.-Mieth.s.d.Gründerzeit-Doppeltrakter mit Verbindungstr.,1884-1918,POINT (16.323215033709378 48.23497420841494)
Lilienberggasse,11.0,13,,,,2.0,Wohnnutzung,"W5.1.-freist.1-,2-u.Mehrfamilienh.-Villen in Randbebauung",1848 -1918,POINT (16.259817083418486 48.19550853725056)
Daringergasse,39.0,19,,,,1.0,Wohnnutzung,"W5.1.-freist.1-,2-u.Mehrfamilienh.-Villen in Randbebauung",1919 - 1945,POINT (16.340959803034366 48.250879155481805)
Lainzer Straße,55.0,13,,1962.0,Albrecht Friedrich und Zimmermann Ferdinand,2.0,Wohnnutzung,"W5.2.-freist.1-,2-u.Mehrfamilienh.-freistehende Villen",1946-1976,POINT (16.291432070516727 48.182638928195864)
Theergasse,3.0,12,,,,3.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,1919 - 1945,POINT (16.322478726309306 48.17612507204262)
Landstraßer Hauptstraße,127.0,3,,,,7.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.396742533661342 48.195839398089475)
Hyrtlgasse,5.0,16,,,,4.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,1919 - 1945,POINT (16.325887269653244 48.20730438050219)
Hütteldorfer Straße,16.0,15,,,,5.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,1919 - 1945,POINT (16.328926730841676 48.2004274006718)
Krautgasse,4.0,11,,,,1.0,Wohnnutzung,W2.1.-Bürgerhaus-kleine Haustypen ohne Hof,1848 -1918,POINT (16.4600556454697 48.16099299833721)
Wallrißstraße,66.0,18,,,,3.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,1919 - 1945,POINT (16.32051060349476 48.233284773887476)
Reschgasse,12.0,12,,,,3.0,Wohnnutzung,W3.2.-Mieth.s.d.Gründerzeit-Seitenflügelhaus,nach 1945,POINT (16.331898278416684 48.180264686381165)
Myrthengasse,14.0,7,,,,6.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,nach 1945,POINT (16.34780141030783 48.20585102983016)
Hafengasse,8.0,3,,,,5.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.395025960100643 48.19296479109271)
Grinzinger Allee,31.0,19,,,,1.0,Wohnnutzung,"W5.1.-freist.1-,2-u.Mehrfamilienh.-Villen in Randbebauung",1919 - 1945,POINT (16.34110761177594 48.25042742308798)
Gassergasse,13.0,5,,,,7.0,Wohnnutzung,W4.1.-soz.u.gemeinn.Wohnb.-Baulückenbebauungen,nach 1945,POINT (16.36550905009865 48.18395229492356)
Beingasse,5.0,15,ehem. Ärarialgebäude Schmelz,,,4.0,Wohnnutzung,4.-Bauten der öffentl.u.privaten Repräsentation u.Verwaltung,1848 -1918,POINT (16.33317180434839 48.197497502614915)
Clessgasse,36.0,21,,,,2.0,Wohnnutzung,"W1.4.-bäuerl.dom.Baustrukt.-Wohn-u.Wirtschaftsbauten,modern",nach 1945,POINT (16.40846603642844 48.30323535886289)
Gutenberggasse,9.0,7,,,,1.0,Sonstige,Keine Angabe,nach 1945,POINT (16.35566531404487 48.20305073118103)
Talgasse,11.0,15,,,,5.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.33360990232338 48.192458510328585)
Jauresgasse,12.0,3,,,,4.0,Sonstige,4.-Bauten der öffentl.u.privaten Repräsentation u.Verwaltung,Nach 1976,POINT (16.38136598960019 48.19743504213475)
Gumpendorfer Straße,40.0,6,,,,6.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,nach 1945,POINT (16.356886781835264 48.19854203029006)
Karl-Schweighofer-Gasse,4.0,7,,1840.0,,,keine Angabe,Keine Angabe,1781-1848,POINT (16.358266802596816 48.20164084086327)
Trauttmansdorffgasse,56.0,13,,,,2.0,Wohnnutzung,W2.4.-Bürgerhaus-Kloster- u. Stiftungshöfe,1781-1848,POINT (16.294897860863536 48.18208920651511)
Matthäusgasse,14.0,3,,,,4.0,Wohnnutzung,W3.1.-Mieth.s.d.Gründerzeit-Straßentrakter,1848 -1918,POINT (16.38789800004419 48.2097581341945)
Enkplatz,2.0,11,,,,3.0,öffentliche Einrichtung,4.-Bauten der öffentl.u.privaten Repräsentation u.Verwaltung,1848 -1918,POINT (16.413670984964703 48.17558792577692)
Margaretengürtel,82.0,5,,,,4.0,Wohnnutzung,W4.2.-soz.u.gemeinn.Wohnb.-Hofbebauungen/Superblocks,1919 - 1945,POINT (16.35004900746466 48.181022593751166)
Deublergasse,42.0,21,,,,4.0,Wohnnutzung,W3.3.-Mieth.s.d.Gründerzeit-Doppeltrakter mit Verbindungstr.,1848 -1918,POINT (16.391283910990147 48.26724550594031)
